eid,success_rate
948fd27b-507b-41b3-bdf8-f9f5f0af8e0b,99.23664122137404
f140a2ec-fd49-4814-994a-fe3476f14e66,85.55555555555556
9fe512b8-92a8-4642-83b6-01158ab66c3c,99.39024390243902
03cf52f6-fba6-4743-a42e-dd1ac3072343,91.39784946236558
5b44c40f-80f4-44fb-abfb-c7f19e27a6ca,100.0
e8b4fda3-7fe4-4706-8ec2-91036cfee6bd,92.24137931034483
dc21e80d-97d7-44ca-a729-a8e3f9b14305,94.34782608695652
7416f387-b302-4ca3-8daf-03b585a1b7ec,94.44444444444444
bb099402-fb31-4cfd-824e-1c97530a0875,99.35897435897436
6ab9d98c-b1e9-4574-b8fe-b9eec88097e0,99.48453608247422
158d5d35-a2ab-4a76-87b0-51048c5d5283,97.77777777777777
caa5dddc-9290-4e27-9f5e-575ba3598614,100.0
5ae68c54-2897-4d3a-8120-426150704385,97.6470588235294
e012d3e3-fdbc-4661-9ffa-5fa284e4e706,98.71794871794873
6274dda8-3a59-4aa1-95f8-a8a549c46a26,99.4413407821229
7cc74598-9c1b-436b-84fa-0bf89f31adf6,90.2439024390244
58b1e920-cfc8-467e-b28b-7654a55d0977,99.30555555555556
d901aff5-2250-467a-b4a1-0cb9729df9e2,96.96969696969697
a19c7a3a-7261-42ce-95d5-1f4ca46007ed,100.0
7b26ce84-07f9-43d1-957f-bc72aeb730a3,Na
7dd27c2f-9544-448d-918d-be0f9837b0e0,99.2
45ef6691-7b80-4a43-bd1a-85fc00851ae8,98.62068965517241
83e77b4b-dfa0-4af9-968b-7ea0c7a0c7e4,94.55445544554455
a71175be-d1fd-47a3-aa93-b830ea3634a1,98.42105263157895
0cf6d255-8f2f-463e-84fb-c54bacb79f51,100.0
a7763417-e0d6-4f2a-aa55-e382fd9b5fb8,94.52054794520548
75b6b132-d998-4fba-8482-961418ac957d,96.26168224299066
5d01d14e-aced-4465-8f8e-9a1c674f62ec,98.36065573770492
e349a2e7-50a3-47ca-bc45-20d1899854ec,96.49122807017544
c3d9b6fb-7fa9-4413-a364-92a54df0fc5d,97.79411764705883
7cb81727-2097-4b52-b480-c89867b5b34c,98.63945578231292
db4df448-e449-4a6f-a0e7-288711e7a75a,97.6470588235294
e0928e11-2b86-4387-a203-80c77fab5d52,100.0
872ce8ff-9fb3-485c-be00-bc5479e0095b,92.15686274509804
413a6825-2144-4a50-b3fc-cf38ddd6fd1a,98.98989898989899
2584ce3c-db10-4076-89cb-5d313138dd38,99.36305732484077
85dc2ebd-8aaf-46b0-9284-a197aee8b16f,92.3076923076923
37e96d0b-5b4b-4c6e-9b29-7edbdc94bbd0,97.63779527559055
aa3432cd-62bd-40bc-bc1c-a12d53bcbdcf,96.75324675324676
111c1762-7908-47e0-9f40-2f2ee55b6505,95.85798816568047
71e55bfe-5a3a-4cba-bdc7-f085140d798e,83.26996197718631
89f0d6ff-69f4-45bc-b89e-72868abb042a,99.53051643192488
fcd49e34-f07b-441c-b2ac-cb8c462ec5ac,99.67845659163987
41431f53-69fd-4e3b-80ce-ea62e03bf9c7,95.16129032258065
e1931de1-cf7b-49af-af33-2ade15e8abe7,98.75
7be8fec4-406b-4e74-8548-d2885dcc3d5e,98.56115107913669
1dbba733-24a4-4400-9436-53f1bd8428e8,99.35483870967742
8a3a0197-b40a-449f-be55-c00b23253bbf,95.6989247311828
9a6e127b-bb07-4be2-92e2-53dd858c2762,98.58156028368793
f56194bc-8215-4ae8-bc6a-89781ad8e050,92.99363057324841
e535fb62-e245-4a48-b119-88ce62a6fe67,97.91666666666666
a405053a-eb13-4aa4-850c-5a337e5dc7fd,100.0
35ed605c-1a1a-47b1-86ff-2b56144f55af,95.96774193548387
91bac580-76ed-41ab-ac07-89051f8d7f6e,91.3907284768212
09b2c4d1-058d-4c84-9fd4-97530f85baf6,92.14285714285714
0c828385-6dd6-4842-a702-c5075f5f5e81,99.29577464788733
ca4ecb4c-4b60-4723-9b9e-2c54a6290a53,97.74436090225564
bda2faf5-9563-4940-a80f-ce444259e47b,100.0
642c97ea-fe89-4ec9-8629-5e492ea4019d,100.0
5c0c560e-9e1f-45e9-b66e-e4ee7855be84,97.25490196078431
032ffcdf-7692-40b3-b9ff-8def1fc18b2e,90.29850746268657
90c61c38-b9fd-4cc3-9795-29160d2f8e55,97.07602339181285
90d1e82c-c96f-496c-ad4e-ee3f02067f25,97.63779527559055
b9c205c3-feac-485b-a89d-afc96d9cb280,100.0
